Year,Exact Date,Race,Age,Sex,Shots,Facial Expression,Title,Appearance,Main Keyword,Theme,Representations,Changing After An Event,Past Tragedy,Overall Percepted Theme,Sameness
2020,"February 10, 2020",African-American,Middle Age,Male,Self,Confident,Former Athlete,Normal,Mourn,Death,Individual,Yes,Yes,Shocking,96
2021,"March 15, 2021",Mixed,Young,Female,Half,Confident,Athlete,Normal,Mourn,Family,Individual,Yes,Yes,Sadness,67
2021,"August 9, 2021",White,Middle Age,Male,Full,Smiling,Singer,Normal,Mourn,Personal Story,Individual,Yes,Yes,Hopefulness,55
2021,"December 27, 2021",African-American,Young,Male,Half,Confident,Host,Normal,Mourn,Personal Story,Individual,Yes,Yes,Sadness,42
2022,"August 22, 2022",White,Old,Female,Self,Smiling,Singer,Normal,Mourn,Romance,Individual,No,Yes,Sadness,14
2015,"Mar 16, 2015",White,Middle Age,Unknown,Half,Smiling,Wealthy,Normal,Murder,Death,Group,Yes,Yes,Sadness,Yes
2015,"Haz 8, 2015",White,Middle Age,Unknown,Half,Confident,Victim,Normal,Murder,Family,Group,Yes,Yes,Sadness,126
2016,"Oca 25, 2016",White,Middle Age,Female,Half,Smiling,Victim,Normal,Murderer,Death,Group,Yes,No,Sadness,Yes
2016,"Oca 25, 2016",White,Middle Age,Male,Half,Confident,Murderer,Overweight,Murderer,Death,Group,Yes,Yes,Sadness,Yes
2016,"Şub 8, 2016",White,Middle Age,Female,Self,Confident,Victim,Normal,Murderer,Death,Individual,Yes,Yes,Sadness,170
2016,"Tem 18, 2016",White,Young,Female,Half,Smiling,Actress,Normal,My Life After,Personal Story,Individual,Yes,Yes,Happiness,196
2016,"Eyl 26, 2016",White,Middle Age,Male,Self,Confident,Actress,Normal,My Own Story,Personal Story,Individual,Yes,No,Hopefulness,208
2016,"May 23, 2016",White,Middle Age,Female,Self,Smiling,Actress,Normal,My Side Of The Story,Career,Individual,Yes,Yes,Mystery,188
2015,"Kas 23, 2015",White,Middle Age,Male,Half,Confident,TV Personality,Normal,New Beginning,Family,Group,Yes,No,Hopefulness,Yes
2015,"Şub 23, 2015",White,Middle Age,Female,Self,Kissing,Singer,Normal,New Mom,Family,Group,Yes,No,Happiness,109
2015,"Nis 27, 2015",White,Young,Unknown,Half,Smiling,TV Personality,Normal,New Mom,Family,Group,Yes,No,Happiness,120
2015,"May 18, 2015",White,Middle Age,Unknown,Full,Smiling,Royal Family,Normal,New Mom,Family,Group,Yes,Yes,Happiness,123
2015,"Tem 27, 2015",White,Middle Age,Unknown,Full,Smiling,Royal Family,Normal,New Mom,Family,Group,Yes,Yes,Happiness,133
2017,"Şub 6, 2017",White,Young,Female,Half,Smiling,Actress,Normal,New Mom,Family,Group,Yes,Yes,Happiness,230
2015,"Kas 23, 2015",White,Middle Age,Female,Half,Smiling,TV Personality,Normal,New Mom,Family,Group,Yes,Yes,Hopefulness,Yes
2015,"Eki 26, 2015",White,Middle Age,Female,Full,Smiling,Actor,Normal,New Mom,Family,Individual,Yes,No,Challenge,148
2015,"Oca 12, 2015",White,Young,Female,Self,Smiling,Royal Family,Normal,New Mom,Family,Individual,Yes,No,Happiness,102
2015,"Oca 19, 2015",White,Young,Female,Self,Smiling,Actress,Normal,New Mom,Family,Individual,Yes,No,Happiness,103
2015,"Mar 9, 2015",White,Middle Age,Female,Half,Smiling,Singer,Overweight,New Mom,Family,Individual,Yes,No,Happiness,111
2015,"May 25, 2015",White,Child,Male,Self,Confident,Royal Family,Normal,New Mom,Family,Individual,Yes,No,Happiness,124
2015,"Mar 2, 2015",White,Middle Age,Unknown,Half,Smiling,Unknown,Normal,Newly Wedded,Family,Group,Yes,No,Happiness,110
2015,"Mar 23, 2015",White,Middle Age,Unknown,Half,Smiling,TV Personality,Normal,Newly Wedded,Family,Group,Yes,Yes,Challenge,Yes
2015,"Ağu 24, 2015",White,Middle Age,Unknown,Half,Smiling,Actress,Normal,Newly Wedded,Family,Group,Yes,Yes,Happiness,137
2022,"December 26, 2022",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,No Holding Back,Family,Group,Yes,No,Happiness,Yes
2016,"Ara 19, 2016",African-American,Middle Age,Male,Half,Confident,Politician,Normal,Obamas Say Goodbye,Career,Group,Yes,No,Happiness,Yes
2016,"Ara 19, 2016",African-American,Middle Age,Female,Half,Confident,Politician,Normal,Obamas Say Goodbye,Family,Group,Yes,Yes,Happiness,Yes
2022,"November 28, 2022",White,Middle Age,Female,Full,Smiling,Actress,Normal,Our Adventure,Romance,Group,Yes,No,Happiness,Yes
2021,"June 7, 2021",White,Middle Age,Male,Self,Smiling,Royal Family,Normal,Pain,Personal Story,Individual,Yes,Yes,Hopefulness,62
2015,"Eki 5, 2015",White,Old,Female,Half,Confident,TV Personality,Normal,Personal Story,Death,Individual,No,No,Sadness,143
2015,"Eki 12, 2015",White,Child,Male,Full,Smiling,Politician,Normal,Personal Story,Family,Group,No,No,Happiness,Yes
2015,"Eki 12, 2015",White,Old,Male,Full,Smiling,Politician,Overweight,Personal Story,Family,Group,Yes,Yes,Happiness,Yes
2015,"Eki 19, 2015",White,Middle Age,Male,Self,Confident,Actor,Normal,Personal Story,Personal Story,Individual,No,No,Hopefulness,147
2015,"Kas 9, 2015",White,Middle Age,Female,Half,Confident,TV Personality,Normal,Personal Story,Personal Story,Individual,No,Yes,Challenge,150
2015,"Kas 16, 2015",Hispanic,Middle Age,Female,Self,Confident,Actress,Normal,Personal Story,Personal Story,Individual,No,Yes,Challenge,151
2015,"Eyl 28, 2015",White,Old,Male,Half,Smiling,Pope,Normal,Personal Story,Personal Story,Individual,No,Yes,Happiness,142
2019,"February 18, 2019",Mixed,Middle Age,Female,Self,Smiling,Royal Family,Normal,Personal Story,Personal Story,Individual,No,Yes,Mystery,243
2015,"Kas 2, 2015",White,Middle Age,Female,Full,Confident,Actor,Normal,Personal Story,Personal Story,Individual,Yes,No,Challenge,149
2015,"Eyl 21, 2015",White,Middle Age,Female,Half,Confident,Actress,Overweight,Personal Story,Self-Love,Individual,No,Yes,Hopefulness,141
2015,"Haz 1, 2015",White,Young,Female,Half,Smiling,Model,Overweight,Plus Size,Career,Individual,Yes,No,Happiness,125
2020,"November 23, 2020",White,Old,Male,Half,Smiling,Politician,Normal,Policy,Personal Story,Group,No,No,Happiness,Yes
2016,"Kas 21, 2016",White,Old,Male,Half,Confident,Politician,Overweight,President Trump,Career,Individual,No,No,Happiness,218
2017,"Oca 30, 2017",White,Young,Male,Half,Sad,Murderer,Normal,Prison,Death,Group,Yes,No,Sadness,229
2017,"Oca 9, 2017",White,Young,Male,Self,Confident,Singer,Normal,Private Pain,Death,Individual,No,No,Sadness,226
2019,"September 23, 2019",White,Middle Age,Female,Self,Smiling,Royal Family,Normal,Queen,Family,Individual,No,No,Hopefulness,288
2022,"August 15, 2022",White,Middle Age,Female,Self,Smiling,Royal Family,Normal,Queen,Family,Individual,Yes,No,Happiness,15
2021,"February 8, 2021",White,Old,Female,Self,Smiling,Royal Family,Normal,Queen,Personal Story,Individual,No,No,Happiness,69
2020,"June 1, 2020",White,Old,Female,Self,Smiling,Royal Family,Normal,Queen,Personal Story,Individual,No,No,Happiness,87
2019,"December 9, 2019",White,Old,Male,Self,Confident,Actor,Normal,Real,Personal Story,Individual,No,No,Mystery,304
2018,Red Carpet Sub Special 2018,White,Young,Female,Half,Smiling,Actress,Normal,Red Carpet,Fashion And Beauty,Individual,No,No,Happiness,312
2016,"Oca 18, 2016",White,Middle Age,Female,Half,Smiling,Actor,Normal,Reunion,Career,Group,Yes,No,Happiness,166
2019,"August 26, 2019",White,Child,Male,Half,Smiling,Royal Family,Normal,Royal,Family,Group,No,No,Mystery,Yes
2019,"April 22, 2019",White,Middle Age,Male,Half,Smiling,Royal Family,Normal,Royal,Family,Group,Yes,Yes,Mystery,Yes
2019,"December 2, 2019",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Royal,Family,Group,Yes,Yes,Sadness,Yes
2015,"Tem 13, 2015",White,Middle Age,Unknown,Full,Smiling,Politician,Normal,Secret,Family,Group,Yes,No,Hopefulness,131
2015,"Eyl 14, 2015",White,Young,Female,Half,Smiling,Politician,Normal,Secret,Family,Individual,Yes,Yes,Hopefulness,140
2019,"September 2, 2019",White,Middle Age,Female,Half,Confident,Actress,Normal,Secrets,Family,Group,No,No,Mystery,Yes
2016,"Kas 7, 2016",Mixed,Young,Female,Self,Smiling,Victim,Normal,Serial Killer,Death,Group,Yes,No,Sadness,216
2019,"February 4, 2019",White,Young,Female,Half,Smiling,Non-Celebrity,Normal,Serial Killer,Personal Story,Group,No,Yes,Shocking,Yes
2019,"November 25, 2019",Mixed,Middle Age,Male,Half,Confident,Singer,Normal,Sexiest Man Alive,Personal Story,Individual,No,No,Happiness,299
2022,"November 21, 2022",White,Young,Male,Half,Confident,Actor,Normal,Sexiest Man Alive,Personal Story,Individual,No,No,Happiness,4
2021,"November 22, 2021",White,Middle Age,Male,Self,Confident,Actor,Normal,Sexiest Man Alive,Personal Story,Individual,No,No,Happiness,44
2020,2020,African-American,Young,Male,Full,Confident,Actor,Normal,Sexiest Man Alive,Personal Story,Individual,No,No,Happiness,73
2015,"Ara 7, 2015",White,Middle Age,Male,Self,Confident,Athlete,Normal,Sexiest Man Alive,Personal Story,Individual,Yes,No,Happiness,156
2016,"Şub 15, 2016",White,Young,Female,Full,Smiling,Wealthy,Normal,Sexy,Personal Story,Individual,Yes,Yes,Happiness,171
2016,"Şub 22, 2016",White,Middle Age,Male,Self,Confident,Actor,Normal,Sexy Dad,Family,Individual,Yes,No,Happiness,172
2015,"Ara 28, 2015",White,Young,Female,Half,Smiling,TV Personality,Normal,She Makes Me A Better Man,Romance,Group,No,No,Happiness,Yes
2015,"Ara 28, 2015",White,Young,Male,Half,Confident,TV Personality,Normal,She Makes Me A Better Man,Romance,Group,Yes,No,Happiness,Yes
2022,"April 11, 2022",African-American,Middle Age,Male,Full,Confident,Actor,Normal,Shocking,Family,Group,Yes,No,Shocking,Yes
2015,"Tem 20, 2015",White,Middle Age,Unknown,Self,Smiling,Actress,Normal,Split,Romance,Group,No,Yes,Sadness,132
2016,"Eki 10, 2016",White,Middle Age,Female,Half,Confident,Actress,Normal,Split,Romance,Group,Yes,No,Challenge,212
2015,"Ağu 3, 2015",White,Middle Age,Unknown,Self,Smiling,Singer,Normal,Split,Romance,Group,Yes,No,Sadness,134
2016,"Nis 18, 2016",White,Middle Age,Female,Half,Confident,Actress,Normal,Split,Romance,Individual,No,No,Sadness,183
2016,"Şub 29, 2016",White,Middle Age,Female,Self,Smiling,Actress,Normal,Split,Romance,Individual,Yes,No,Challenge,173
2015,"Ağu 17, 2015",Hispanic,Middle Age,Female,Self,Confident,Singer,Normal,Split,Romance,Individual,Yes,No,Sadness,136
2016,"Şub 1, 2016",White,Middle Age,Female,Half,Confident,Singer,Normal,Split,Romance,Individual,Yes,Yes,Sadness,169
2019,"September 30, 2019",African-American,Middle Age,Female,Half,Smiling,Actress,Normal,Strength,Personal Story,Individual,Yes,No,Challenge,289
2019,"July 1, 2019",White,Middle Age,Female,Self,Confident,Singer,Normal,Stronger,Personal Story,Individual,Yes,No,Challenge,270
2021,"January 25, 2021",African-American,Middle Age,Male,Half,Confident,Singer,Normal,Struggle,Family,Group,Yes,No,Sadness,Yes
2020,"January 27, 2020",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Struggle,Family,Group,Yes,No,Shocking,Yes
2020,"March 2, 2020",White,Middle Age,Female,Self,Confident,Royal Family,Normal,Struggle,Personal Story,Individual,No,No,Hopefulness,93
2020,"August 31, 2020",African-American,Young,Female,Self,Smiling,Singer,Normal,Struggle,Personal Story,Individual,Yes,No,Happiness,80
2022,"November 7, 2022",White,Old,Male,Self,Confident,Actor,Normal,Struggle,Personal Story,Individual,Yes,Yes,Hopefulness,6
2016,"Ağu 29, 2016",Mixed,Young,Female,Half,Smiling,Athlete,Normal,Success,Career,Group,Yes,Yes,Happiness,202
2017,"Mar 20, 2017",African-American,Middle Age,Female,Self,Smiling,Actress,Normal,Success,Career,Individual,Yes,Yes,Happiness,237
2018,"November19,2018",African-American,Middle Age,Male,Full,Smiling,Actor,Normal,Success,Personal Story,Individual,No,No,Happiness,360
2021,"November 15, 2021",White,Old,Female,Self,Smiling,Actress,Normal,Success,Personal Story,Individual,No,No,Happiness,45
2020,"July 6, 2020",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Success,Personal Story,Individual,No,No,Happiness,84
2021,"August 16, 2021",African-American,Young,Female,Half,Confident,Athlete,Normal,Success,Personal Story,Individual,Yes,No,Happiness,
2018,"September10,2018",White,Old,Male,Self,Confident,Politican,Normal,Success,Personal Story,Individual,Yes,Yes,Hopefulness,348
2022,"March 28, 2022",African-American,Old,Male,Half,Smiling,Actor,Normal,Survival,Family,Group,Yes,No,Hopefulness,Yes
2022,"January 31, 2022",White,Middle Age,Male,Self,Confident,Actor,Normal,Survival,Family,Individual,Yes,No,Happiness,36
2021,"October 4, 2021",White,Young,Female,Self,Confident,Singer,Normal,Survival,Family,Individual,Yes,No,Hopefulness,50
2022,"April 18, 2022",White,Old,Male,Self,Confident,Actor,Normal,Survival,Family,Individual,Yes,Yes,Hopefulness,28
2018,"December10,2018",White,Middle Age,Male,Self,Confident,Singer,Normal,Survival,Family,Individual,Yes,Yes,Hopefulness,363
2015,"Nis 13, 2015",White,Young,Female,Self,Confident,Singer,Normal,Survival,Health,Individual,Yes,No,Sadness,118
2019,"January 28,2019",White,Young,Female,Self,Smiling,Non-Celebrity,Normal,Survival,Personal Story,Individual,No,Yes,Hopefulness,374
2022,"April 25, 2022",African-American,Middle Age,Female,Half,Smiling,Actress,Normal,Survival,Personal Story,Individual,Yes,No,Happiness,27
2022,"July 4, 2022",White,Young,Male,Self,Confident,Singer,Normal,Survival,Personal Story,Individual,Yes,No,Hopefulness,19
2022,"May 23, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Survival,Personal Story,Individual,Yes,No,Hopefulness,23
2020,"September 28, 2020",White,Young,Male,Full,Confident,Non-Celebrity,Normal,Survival,Personal Story,Individual,Yes,No,Hopefulness,397
2021,"July 12, 2021",White,Middle Age,Female,Half,Smiling,Singer,Normal,Survival,Personal Story,Individual,Yes,No,Sadness,57
2020,"April 27, 2020",White,Old,Female,Half,Smiling,Actress,Normal,Survival,Personal Story,Individual,Yes,Yes,Happiness,89
2022,"June 6, 2022",White,Old,Male,Self,Confident,Actor,Normal,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,21
2022,"March 21, 2022",White,Old,Male,Half,Smiling,Actor,Normal,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,29
2022,"February 21, 2022",African-American,Old,Male,Half,Confident,Singer,Normal,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,33
2018,"October22,2018",White,Middle Age,Female,Half,Smiling,Singer,Normal,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,356
2021,"March 1, 2021",African-American,Old,Female,Half,Smiling,Singer,Overweight,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,68
2020,"May 25, 2020",White,Old,Female,Self,Smiling,Actress,Normal,Survival,Personal Story,Individual,Yes,Yes,Hopefulness,88
2018,"April 23,2018",African-American,Middle Age,Female,Self,Confident,Singer,Normal,Survival,Personal Story,Individual,Yes,Yes,Sadness,321
2018,"August13,2018",Mixed,Middle Age,Female,Self,Confident,Singer,Normal,Survival,Personal Story,Individual,Yes,Yes,Sadness,344
2018,"September 17,2018",White,Middle Age,Female,Self,Confident,Author,Normal,Survival,Personal Story,Individual,Yes,Yes,Sadness,349
2021,"September 6, 2021",White,Young,Male,Self,Confident,Actor,Normal,Survival,Personal Story,Individual,Yes,Yes,Sadness,53
2016,"Mar 28, 2016",White,Young,Female,Half,Smiling,TV Personality,Normal,The One,Romance,Group,No,No,Happiness,Yes
2016,"Ağu 15, 2016",White,Young,Female,Half,Confident,TV Personality,Normal,The One,Romance,Group,Yes,No,Happiness,200
2016,"Mar 28, 2016",White,Young,Male,Half,Smiling,TV Personality,Normal,The One,Romance,Group,Yes,No,Happiness,Yes
2016,"Haz 13, 2016",White,Young,Female,Self,Sad,Actress,Normal,Their Toxic Marriage Abuse,Family,Individual,Yes,No,Sadness,191
2019,"December 30, 2019",White,Middle Age,Male,Half,Smiling,Royal Family,Normal,Throne,Career,Group,No,No,Hopefulness,Yes
2016,"Nis 25, 2016",White,Young,Female,Half,Smiling,Actress,Normal,Tragic Accident,Death,Individual,Yes,Yes,Sadness,184
2016,"May 9, 2016",African-American,Middle Age,Male,Self,Confident,Singer,Normal,Tragic Death,Death,Individual,No,No,Sadness,186
2016,"Ağu 22, 2016",White,Child,Female,Half,Smiling,Victim,Normal,Tragic Death,Death,Individual,No,No,Sadness,201
2016,"Ağu 1, 2016",White,Young,Male,Self,Confident,Politician,Normal,Tragic Death,Death,Individual,Yes,No,Sadness,198
2019,"October 14, 2019",African-American,Middle Age,Male,Half,Smiling,Actor,Normal,Trauma,Personal Story,Individual,Yes,Yes,Challenge,291
2019,"Red carpet special,2019",White,Middle Age,Female,Half,Confident,Actress,Normal,Truth,Fashion,Individual,No,No,Happiness,244
2016,"Mar 14, 2016",White,Middle Age,Female,Half,Smiling,Singer,Normal,Untold Love Story,Romance,Group,No,No,Happiness,Yes
2016,"Eki 3, 2016",African-American,Middle Age,Male,Full,Smiling,Athlete,Normal,Untold Story,Family,Group,Yes,No,Hopefulness,Yes
2022,"December 5, 2022",African-American,Middle Age,Male,Self,Smiling,Former Athlete,Normal,Untold Story,Personal Story,Individual,No,No,Happiness,3
2016,"Kas 14, 2016",White,Old,Male,Self,Confident,Singer,Normal,Untold Story,Personal Story,Individual,Yes,Yes,Hopefulness,217
2021,"January 11, 2021",White,Middle Age,Female,Half,Smiling,Actress,Normal,Wedding,Romance,Group,No,No,Happiness,Yes
2022,"August 1, 2022",Mixed,Middle Age,Female,Self,Smiling,Singer,Normal,Wedding,Romance,Group,Yes,No,Happiness,Yes
2016,"Tem 25, 2016",White,Young,Female,Full,Smiling,Unknown,Normal,Weight Loss,Diet,Group,Yes,No,Happiness,197
2020,"January 13, 2020",White,Old,Female,Full,Smiling,Non-Celebrity,Normal,Weight Loss,Diet,Group,Yes,No,Happiness,Yes
2019,"March 4, 2019",White,Old,Male,Self,Smiling,Actor,Normal,What I'Ve Learned,Family,Individual,Yes,No,Mystery,246
2016,"Ara 5, 2016",White,Young,Female,Half,Smiling,Victim,Normal,Who Killed,Death,Group,Yes,No,Sadness,220
2016,"Oca 4, 2016",White,Child,Female,Self,Smiling,Victim,Normal,Who Killed,Death,Individual,Yes,No,Sadness,163
2016,"Nis 11, 2016",White,Old,Male,Half,Confident,Politician,Overweight,Who İs,Personal Story,Individual,No,Yes,Mystery,182
2015,"Ara 21, 2015",White,Middle Age,Female,Half,Confident,Actress,Overweight,Wild Year,Personal Story,Individual,Yes,No,Challenge,160
2016,"May 2, 2016",White,Middle Age,Female,Half,Smiling,Actress,Normal,World'S Most Beautiful,Personal Story,Individual,Yes,Yes,Happiness,185
